Ward name,Old code,New code,Population,Children_0-15 ,Children_0-15 %,Area - Square,Population_density, children_obese%, children_obese_year6,Employment_rate ,House_Price,Household_income,no_qualifications%,Crime_rate %,open_space% ,Cars_per_household 
Croydon,00AHGS,E05000158,17100,3550,20.8,2.5,6740.0,11.2,23.5,69.5,350000.0,36810.0,16.2,54.2,15.8,1.0
Croydon,00AHGT,E05000159,15550,3050,19.7,4.2,3607.1,8.1,16.9,74.1,320000.0,44600.0,12.9,78.1,3.8,1.2
Croydon,00AHGU,E05000160,13200,2250,17.0,6.3,2071.4,7.7,12.5,74.9,392500.0,47030.0,15.1,29.6,48.6,1.5
Croydon,00AHGW,E05000161,18550,4850,26.2,2.3,7978.3,14.6,27.0,64.7,212997.5,31220.0,18.9,95.9,18.3,0.6
Croydon,00AHGX,E05000162,12200,1700,13.8,6.4,1882.8,8.8,15.4,76.4,344000.0,45320.0,15.2,35.5,55.2,1.5
Croydon,00AHGY,E05000163,14700,2900,19.7,2.8,5214.3,9.1,20.0,72.3,320000.0,39500.0,19.1,44.1,16.0,1.2
Croydon,00AHGZ,E05000164,16900,3750,22.2,2.4,6979.2,11.6,23.4,68.7,240000.0,34430.0,15.9,80.0,17.5,0.7
Croydon,00AHHA,E05000165,16900,4300,25.4,1.7,9852.9,13.8,26.7,66.8,250000.0,33720.0,18.7,82.0,11.2,0.7
Croydon,00AHHB,E05000166,16600,3450,20.8,2.6,6307.7,10.5,23.7,69.7,289750.0,37430.0,16.6,70.8,19.4,0.9
Croydon,00AHHC,E05000167,17650,4100,23.4,3.6,4847.2,11.1,19.9,69.9,243250.0,34630.0,19.1,74.3,32.7,0.8
Croydon,00AHHD,E05000168,18000,4550,25.4,2.0,8925.0,12.6,24.8,64.6,235000.0,32400.0,17.9,90.3,18.7,0.8
Croydon,00AHHE,E05000169,17100,4200,24.7,2.2,7727.3,11.6,23.6,69.0,250000.0,33890.0,17.1,65.0,33.3,0.8
Ealing,00AJGC,E05000170,15850,3150,20.0,1.8,8750.0,11.1,19.4,69.4,570000.0,36500.0,14.3,77.9,24.2,0.7
Ealing,00AJGD,E05000171,14850,3200,21.7,2.2,6750.0,10.0,19.2,68.6,500000.0,41730.0,13.1,47.8,34.7,0.9
