Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,% All Children aged 0-15 - 2015,Area - Square Kilometres,Population density (persons per sq km) - 2013,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (? - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,Crime rate - 2014/15,% area that is open space - 2014,Cars per household - 2011
Ealing - Southall Broadway,00AJGY,E05000189,16200,3700,22.7,1.6,9343.8,14.8,23.3,5425,59.1,250000.0,37,27930.0,3926,8.8,21.0,45.4,24.8,54.6,16.4,24.9,23.1,76.9,0.0,13.9,12.5,5.4,4.0,16.9,6.7,55.9,181.0,100.0,315.5,1.1,23.8,107.9,14.1,0.9
Ealing - Southall Green,00AJGZ,E05000190,15200,3600,23.8,1.6,9406.3,14.3,24.7,6042,59.7,243000.0,97,27150.0,4345,8.8,23.1,40.5,27.6,51.4,13.6,31.5,26.3,73.7,0.0,13.5,13.0,5.2,4.0,17.4,9.1,61.6,173.0,100.0,305.8,1.1,23.6,83.9,16.3,0.9
Ealing - Southfield,00AJHA,E05000191,13600,2500,18.6,1.4,9714.3,7.4,18.0,7601,77.6,780000.0,219,50170.0,6207,3.0,12.3,33.6,51.1,57.1,9.8,31.3,4.8,55.5,39.7,6.9,7.9,3.1,1.8,9.4,2.4,42.4,485.0,25.0,350.5,1.0,9.0,64.5,14.3,0.8
Ealing - Walpole,00AJHB,E05000192,13500,2600,19.1,1.5,9033.3,7.8,18.5,7364,77.3,612500.0,168,46240.0,5656,4.4,19.6,31.3,44.6,56.7,12.0,28.8,7.3,71.7,21.0,8.3,8.6,2.8,2.0,7.3,2.7,45.1,423.0,37.5,371.3,0.5,10.2,73.8,20.1,0.8
Enfield - Bowes,00AKGL,E05000193,14550,2650,18.2,1.5,9733.3,9.3,21.1,7292,71.9,319995.0,147,36300.0,5598,3.4,14.8,36.4,45.5,55.2,10.7,32.1,8.7,86.8,4.5,14.0,11.8,4.2,2.5,17.8,5.1,41.1,279.0,75.0,329.8,1.1,16.7,50.8,15.3,0.8
Enfield - Bush Hill Park,00AKGM,E05000194,14150,2500,17.6,2.5,5720.0,10.8,22.4,6585,73.0,360200.0,223,41800.0,5609,5.0,32.6,34.3,28.0,78.5,5.2,15.1,4.1,78.5,17.4,9.0,6.1,3.0,1.8,9.7,3.4,40.1,504.0,33.3,353.4,0.9,20.4,53.9,29.6,1.3
Enfield - Chase,00AKGN,E05000195,14000,3150,22.3,16.9,834.3,12.0,24.4,6180,69.5,324000.0,173,36350.0,5744,9.2,19.8,33.4,37.1,60.4,21.3,15.7,23.2,68.5,8.4,14.4,14.2,5.0,2.9,18.5,7.6,55.3,292.0,62.5,317.0,1.4,22.4,55.8,81.5,1.1
Enfield - Cockfosters,00AKGP,E05000196,14100,2250,16.1,10.4,1370.2,9.0,20.6,5885,66.9,472000.0,185,43570.0,5356,21.9,30.1,9.4,38.6,68.7,12.0,17.4,5.1,45.4,49.5,8.8,7.8,3.1,1.6,10.2,4.0,48.4,496.0,37.5,339.7,0.9,19.0,46.4,68.8,1.3
Enfield - Edmonton Green,00AKGQ,E05000197,18350,4950,27.1,3.1,5951.6,17.6,30.1,6144,53.8,210000.0,119,26010.0,6999,4.8,15.6,20.8,58.7,29.7,43.1,23.0,36.4,63.4,0.1,26.4,29.5,8.3,6.2,27.4,14.8,58.5,14.0,100.0,293.6,2.1,30.5,117.7,33.2,0.6
Enfield - Enfield Highway,00AKGR,E05000198,16350,4050,24.9,4.6,3576.1,14.1,27.0,6112,60.1,250000.0,157,29450.0,5943,4.5,22.0,38.8,34.6,52.5,24.4,20.7,21.1,77.7,1.2,18.8,19.1,6.2,4.0,26.7,13.3,60.4,168.0,100.0,311.3,1.7,30.1,82.4,40.6,1.0
Enfield - Enfield Lock,00AKGS,E05000199,17000,4500,26.4,3.3,5166.7,16.3,26.7,6586,62.0,217250.0,204,30240.0,6422,6.8,20.4,32.6,40.2,49.9,22.7,24.1,15.5,81.9,2.7,19.5,20.6,5.8,4.1,27.5,14.0,61.0,199.0,100.0,303.4,2.2,26.5,69.2,39.6,0.9
Enfield - Grange,00AKGT,E05000200,13300,2300,17.3,3.3,4015.2,8.6,11.7,6045,74.8,360000.0,243,45960.0,5396,15.5,32.6,13.5,38.4,77.2,3.4,18.0,3.7,56.1,40.2,6.6,5.2,7.7,1.4,7.6,3.3,44.3,575.0,12.5,364.5,0.9,16.1,59.4,27.4,1.3
Enfield - Haselbury,00AKGU,E05000201,16500,4050,24.5,1.8,9277.8,14.5,26.9,6292,59.3,260000.0,133,29600.0,5927,5.9,21.8,40.3,31.9,50.7,19.5,27.5,16.0,83.6,0.3,19.5,19.6,6.4,4.4,23.8,12.5,56.0,162.0,100.0,307.5,2.1,27.2,61.1,27.0,0.8
Enfield - Highlands,00AKGW,E05000202,13550,2200,16.4,5.1,2647.1,8.9,19.4,6120,72.9,375000.0,237,43540.0,5696,14.5,34.0,13.4,38.0,74.2,7.4,17.0,4.8,58.0,37.2,10.1,6.7,3.8,1.3,11.9,2.9,35.4,488.0,50.0,347.0,0.9,18.7,40.4,56.4,1.2
Enfield - Jubilee,00AKGX,E05000203,14600,3500,24.1,3.9,3782.1,12.8,24.3,5744,62.2,250000.0,137,30800.0,5420,5.3,19.9,47.2,27.5,57.7,15.5,24.8,14.8,84.8,0.4,17.2,17.9,6.5,3.9,23.6,9.5,52.2,205.0,100.0,310.4,1.5,28.5,58.8,60.6,1.0
Enfield - Lower Edmonton,00AKGY,E05000204,16700,4700,28.0,2.2,7681.8,13.2,27.6,6057,57.9,248000.0,161,28110.0,6179,6.9,15.1,44.7,33.3,44.8,27.4,24.4,15.3,84.5,0.2,20.1,22.7,6.9,5.3,25.2,13.6,53.7,119.0,100.0,304.0,2.2,28.5,56.2,40.6,0.7
Enfield - Palmers Green,00AKGZ,E05000205,15650,2900,18.5,1.9,8263.2,11.0,22.5,7225,70.2,353500.0,128,37970.0,5898,3.1,19.6,41.4,35.9,63.0,9.0,25.4,6.6,87.5,5.9,12.9,9.4,4.0,2.3,13.5,4.7,41.0,333.0,77.8,336.5,1.0,20.6,70.3,15.4,1.0
Enfield - Ponders End,00AKHA,E05000206,17050,4400,25.7,3.5,4771.4,16.7,29.6,5902,58.0,248000.0,118,28560.0,5787,5.0,15.2,34.9,45.0,45.5,25.6,25.4,23.7,76.2,0.2,19.6,20.0,5.6,5.3,22.0,12.6,54.8,127.0,100.0,313.5,1.6,26.9,80.6,44.5,0.8
Enfield - Southbury,00AKHB,E05000207,14950,3700,24.7,2.9,5172.4,12.0,21.4,6183,65.0,265000.0,304,33260.0,5650,3.3,14.1,43.4,39.2,53.5,24.0,21.0,16.4,82.4,1.2,16.8,17.4,5.5,3.3,21.1,10.5,56.3,222.0,100.0,327.2,1.5,24.6,98.8,29.3,0.9
Enfield - Southgate,00AKHC,E05000208,14800,2850,19.2,2.7,5537.0,9.5,17.5,6886,71.1,347500.0,172,41520.0,6065,7.2,30.7,13.2,49.0,61.7,7.4,28.3,3.1,69.7,27.2,9.4,8.8,2.9,1.6,11.2,5.0,43.7,513.0,25.0,360.6,0.8,16.1,62.6,27.1,1.1
Enfield - Southgate Green,00AKHD,E05000209,14400,2550,17.9,2.6,5538.5,9.7,21.8,6464,70.4,500000.0,127,42750.0,5244,5.2,38.1,20.2,36.4,65.3,12.0,21.4,7.0,58.2,34.8,9.7,7.9,3.2,2.1,10.7,4.4,47.7,402.0,33.3,348.5,0.9,16.3,43.2,20.6,1.1
Enfield - Town,00AKHE,E05000210,15150,3000,19.8,2.2,6954.5,10.8,20.6,7349,75.9,350000.0,240,42300.0,6233,2.7,29.2,36.6,31.5,74.7,6.1,17.3,5.8,88.6,5.6,8.8,7.3,3.1,1.6,11.1,3.9,45.8,520.0,11.1,327.9,0.7,17.4,50.3,16.0,1.2
Enfield - Turkey Street,00AKHF,E05000211,14700,3600,24.4,2.3,6434.8,13.4,25.8,5507,60.9,250000.0,147,28960.0,5467,4.3,26.6,36.1,33.1,52.1,26.3,19.1,17.0,82.1,0.9,20.6,19.7,6.6,4.4,27.4,13.1,60.4,141.0,100.0,306.5,2.0,30.2,74.5,30.5,1.0
Enfield - Upper Edmonton,00AKHG,E05000212,18600,4800,25.7,2.7,6777.8,14.7,30.1,6599,58.4,250000.0,118,28480.0,6318,5.9,16.2,40.4,37.3,44.0,29.8,24.0,26.3,73.7,0.0,21.0,20.6,6.4,4.4,24.2,13.2,56.3,74.0,100.0,290.8,2.0,28.3,120.2,17.6,0.8
Enfield - Winchmore Hill,00AKHH,E05000213,13700,2550,18.6,2.8,4928.6,6.6,19.3,6715,75.1,435000.0,205,45880.0,5470,8.7,31.0,19.9,40.3,69.9,6.4,22.2,4.2,54.2,41.7,8.4,6.6,2.7,1.8,7.2,2.7,35.1,491.0,37.5,351.0,0.7,15.4,43.7,25.2,1.2
Greenwich - Abbey Wood,00ALGP,E05000214,16200,4300,26.4,2.7,5722.2,16.6,28.8,6347,63.6,250000.0,118,31540.0,6053,3.1,10.5,48.6,37.5,44.4,38.9,15.2,36.0,63.8,0.2,20.6,17.2,7.1,3.6,23.0,10.6,51.2,97.0,100.0,301.1,1.2,25.3,77.6,44.0,0.7
Greenwich - Blackheath Westcombe,00ALGQ,E05000215,13300,2300,17.3,2.1,6047.6,6.8,21.9,6675,75.5,427500.0,262,49160.0,6380,7.8,13.2,12.8,66.3,49.9,22.4,25.4,12.2,67.6,20.3,10.3,8.7,3.6,1.6,10.6,2.8,43.4,344.0,87.5,327.4,1.2,12.1,76.6,15.4,0.8
Greenwich - Charlton,00ALGR,E05000216,14650,3300,22.6,2.0,7050.0,12.8,26.4,6572,67.7,363000.0,173,37940.0,5869,3.0,17.8,31.7,47.5,41.7,41.1,15.9,36.8,62.0,1.2,17.1,14.8,5.5,3.1,18.5,7.6,51.7,146.0,100.0,316.2,1.4,20.8,60.7,31.5,0.7
Greenwich - Coldharbour and New Eltham,00ALGS,E05000217,13450,2350,17.4,2.5,5180.0,10.5,21.9,5957,70.7,325000.0,239,38390.0,5231,5.4,55.4,14.6,24.6,65.5,23.5,9.8,11.8,85.0,3.2,13.1,9.0,4.9,1.9,14.7,4.1,42.4,338.0,62.5,319.5,0.8,25.4,58.1,20.0,1.1
Greenwich - Eltham North,00ALGT,E05000218,12900,2250,17.6,2.6,4788.5,6.8,16.1,6087,75.1,345000.0,178,43120.0,5249,3.4,34.1,41.7,20.9,73.1,17.0,8.4,11.5,78.7,9.8,10.0,6.9,3.2,1.7,8.4,2.7,38.4,457.0,25.0,339.0,0.7,20.0,67.2,24.6,1.1
Greenwich - Eltham South,00ALGU,E05000219,13100,2050,15.8,4.6,2717.4,12.1,24.3,5537,64.9,288750.0,218,37120.0,5224,7.1,28.6,19.8,44.4,59.8,22.4,15.0,19.4,66.5,14.1,12.6,9.3,3.8,2.4,19.0,4.8,50.0,306.0,75.0,352.5,1.2,21.5,75.9,54.6,1.0
Greenwich - Eltham West,00ALGW,E05000220,12500,2700,21.5,2.4,4666.7,13.8,24.4,4374,64.0,315500.0,226,34250.0,3859,3.1,43.9,38.5,14.5,45.3,44.1,8.3,8.7,88.8,2.5,17.7,15.2,5.3,3.0,23.6,7.3,49.5,100.0,100.0,310.9,1.6,30.8,59.9,30.5,0.9
Greenwich - Glyndon,00ALGX,E05000221,18500,4350,23.6,1.7,10441.2,14.1,24.7,7961,62.5,224995.0,181,31690.0,6881,3.4,8.9,36.2,51.5,30.4,41.4,24.7,40.7,59.3,0.0,19.7,17.3,6.3,4.0,21.7,8.7,49.2,73.0,100.0,317.5,1.8,21.4,60.9,32.6,0.6
Greenwich - Greenwich West,00ALGY,E05000222,18450,3450,18.8,2.8,6053.6,11.1,25.2,8485,68.6,450000.0,897,42270.0,7359,2.0,4.9,21.3,71.7,32.0,35.7,28.8,32.6,50.4,17.0,13.4,12.9,3.4,2.4,17.7,6.0,46.2,230.0,100.0,310.9,1.4,12.8,104.0,49.0,0.6
Greenwich - Kidbrooke with Hornfair,00ALGZ,E05000223,14650,2900,19.7,2.4,5854.2,11.0,24.1,6525,67.3,260050.0,223,35740.0,5968,4.0,31.0,29.4,35.7,50.1,32.1,15.9,17.6,78.5,3.9,16.2,12.6,5.7,2.5,20.6,6.3,48.5,198.0,100.0,313.1,1.6,23.7,70.3,28.2,0.9
Greenwich - Middle Park and Sutcliffe,00ALHA,E05000224,13900,2900,20.8,3.3,4045.5,11.5,25.0,5652,65.6,292755.0,170,35340.0,5693,8.5,23.0,27.0,41.5,50.4,37.3,10.9,11.8,79.0,9.2,18.5,15.1,6.2,3.4,25.5,7.3,51.5,147.0,100.0,329.3,1.8,25.5,64.4,37.0,0.9
Greenwich - Peninsula,00ALHB,E05000225,24500,4650,19.0,4.5,4155.6,7.0,20.3,7798,74.2,379000.0,516,41840.0,6436,1.7,5.8,40.1,52.3,36.8,30.6,30.0,28.2,68.7,3.1,13.6,9.6,3.1,1.6,18.1,4.6,51.3,277.0,100.0,302.8,1.4,15.0,107.6,33.7,0.6
Greenwich - Plumstead,00ALHC,E05000226,17050,3950,23.1,2.4,6854.2,14.1,25.3,7282,63.9,249000.0,159,32390.0,6047,5.4,15.1,51.9,27.7,47.4,27.3,23.3,29.7,70.3,0.0,16.3,15.4,5.2,3.4,17.4,8.1,47.4,170.0,100.0,305.6,1.5,21.6,78.7,41.0,0.7
Greenwich - Shooters Hill,00ALHD,E05000227,13750,2750,20.2,3.8,3486.8,12.8,22.7,6242,69.5,270000.0,196,39030.0,5487,5.5,27.4,42.9,24.2,64.3,19.5,14.4,18.3,79.6,2.2,13.0,9.0,4.5,2.5,13.9,5.1,41.1,320.0,88.9,320.1,1.0,19.4,46.3,57.2,1.0
Greenwich - Thamesmead Moorings,00ALHE,E05000228,22200,6450,29.1,4.8,4218.8,16.9,28.9,8273,62.9,190000.0,152,34450.0,7034,5.6,14.6,34.0,45.8,32.7,38.0,25.3,33.0,66.9,0.1,16.0,16.3,4.7,3.8,18.9,11.0,49.9,180.0,100.0,311.5,1.2,18.7,70.5,55.4,0.7
Greenwich - Woolwich Common,00ALHF,E05000229,19550,5250,26.7,2.6,6903.8,14.0,26.6,7113,60.5,267500.0,235,30260.0,6696,3.3,7.6,27.0,62.2,21.9,50.0,24.7,52.5,47.2,0.3,20.8,18.2,6.0,4.9,20.2,10.2,49.8,22.0,100.0,313.0,1.3,21.8,103.0,39.4,0.6
Greenwich - Woolwich Riverside,00ALHG,E05000230,23050,5550,24.0,3.2,6359.4,15.4,24.1,8681,64.7,266250.0,262,33540.0,8361,1.4,4.8,16.0,77.7,19.0,50.0,25.2,55.1,44.8,0.1,20.3,16.4,5.5,3.8,22.0,9.8,52.6,33.0,100.0,309.0,1.7,19.9,112.8,34.9,0.5
Hackney - Brownswood,00AMGA,E05000231,13300,1850,13.8,0.8,15187.5,15.0,28.8,6334,72.0,440000.0,221,40070.0,5203,1.3,4.0,7.4,87.2,26.1,32.0,38.5,24.0,70.9,5.1,16.4,15.8,5.3,2.7,30.0,5.3,54.7,71.0,100.0,295.0,1.1,14.1,87.3,25.6,0.4
Hackney - Cazenove,00AMGB,E05000232,13800,4050,29.3,0.7,19214.3,12.1,24.5,5744,64.8,375000.0,77,38130.0,4860,2.0,4.7,15.8,77.7,25.7,33.8,37.2,34.7,54.2,11.1,14.3,22.2,4.7,3.4,11.6,7.2,49.2,110.0,100.0,320.4,0.8,23.5,49.7,12.8,0.4
Hackney - Chatham,00AMGC,E05000233,13950,2950,21.1,0.9,15055.6,17.4,23.8,5930,63.0,415000.0,220,32510.0,5732,1.6,2.8,14.2,81.5,20.3,51.0,24.6,46.9,52.4,0.6,22.1,23.7,7.3,5.0,27.4,9.7,55.1,13.0,100.0,326.3,1.0,21.1,115.3,20.4,0.4
Hackney - Clissold,00AMGD,E05000234,12650,2450,19.3,0.7,17642.9,8.9,17.6,6683,73.3,499950.0,150,45450.0,5316,1.4,2.8,23.4,72.4,37.0,34.0,25.7,25.9,67.2,6.9,13.8,15.0,5.9,2.5,15.9,5.5,45.8,160.0,100.0,345.6,0.7,14.3,75.4,12.3,0.5
Hackney - Dalston,00AMGE,E05000235,15950,2650,16.6,0.9,17000.0,10.6,26.7,8021,70.4,485000.0,151,38230.0,6608,1.8,4.0,14.9,79.2,23.1,38.9,34.0,32.3,65.2,2.4,20.8,19.1,5.8,3.8,29.8,6.4,50.0,21.0,100.0,332.3,1.3,15.9,158.6,17.1,0.4
Hackney - De Beauvoir,00AMGF,E05000236,15200,2400,15.8,0.9,16000.0,13.7,30.3,7456,71.1,480000.0,187,39060.0,6138,1.0,5.8,11.2,81.9,23.9,39.9,29.8,32.2,56.0,11.7,16.1,16.5,4.6,3.2,28.9,6.4,55.0,68.0,100.0,314.9,1.4,15.6,147.9,14.2,0.4
Hackney - Hackney Central,00AMGG,E05000237,13200,2300,17.5,0.8,16000.0,14.4,25.6,6240,66.6,450000.0,117,35260.0,5618,1.6,3.7,11.7,83.0,19.7,50.7,27.0,38.7,59.6,1.7,19.6,21.8,6.4,3.8,25.1,7.6,52.1,23.0,100.0,328.0,1.2,18.4,114.6,14.1,0.3
Hackney - Hackney Downs,00AMGH,E05000238,13400,2600,19.5,1.0,13100.0,10.7,25.7,6214,65.1,433000.0,153,35700.0,5641,2.1,3.4,14.8,79.6,24.4,43.1,29.3,33.0,64.2,2.9,19.8,20.4,6.6,4.3,25.5,7.5,52.8,20.0,100.0,318.0,1.1,19.3,80.0,33.8,0.4
Hackney - Haggerston,00AMGJ,E05000239,15250,2200,14.5,1.2,12166.7,13.5,29.0,7346,67.4,452500.0,280,36080.0,6377,0.9,1.3,4.5,93.3,16.1,44.1,36.2,46.1,51.1,2.9,16.6,17.1,5.3,3.2,29.2,7.5,54.9,10.0,100.0,295.3,1.2,16.1,162.3,19.1,0.3
Hackney - Hoxton,00AMGK,E05000240,16300,2450,15.0,0.8,19750.0,14.8,27.6,7412,62.7,475000.0,235,34970.0,6868,0.5,0.7,2.8,95.8,16.6,54.3,24.6,52.4,42.2,5.4,18.3,17.3,5.5,3.6,29.8,7.9,51.2,8.0,100.0,322.5,1.2,17.7,127.2,27.6,0.3
Hackney - King's Park,00AMGL,E05000241,11650,2800,24.1,1.8,6305.6,14.6,25.5,4166,57.6,383000.0,114,31970.0,4290,3.9,5.6,26.5,63.9,24.4,57.9,15.8,43.9,56.1,0.0,20.4,24.9,7.1,5.8,25.3,11.7,53.6,42.0,100.0,320.5,1.0,24.6,68.0,66.9,0.5
Hackney - Leabridge,00AMGM,E05000242,14600,2950,20.1,1.1,12954.5,10.7,22.1,6620,65.6,375000.0,211,35110.0,5688,2.8,5.0,25.6,66.6,30.0,32.0,35.0,26.5,71.7,1.8,20.0,18.1,6.1,3.9,22.2,7.7,51.1,80.0,100.0,338.5,1.3,18.5,79.9,23.0,0.5
Hackney - Lordship,00AMGN,E05000243,12700,3650,28.6,1.2,10333.3,10.1,23.1,5089,64.6,420000.0,97,39940.0,4696,1.6,6.6,15.9,75.8,28.8,37.0,31.5,28.2,61.1,10.7,14.7,21.7,5.8,3.0,11.9,5.9,44.1,101.0,100.0,335.9,0.9,24.2,66.5,33.6,0.5
Hackney - New River,00AMGP,E05000244,14500,4250,29.2,1.0,13450.0,18.2,29.1,4631,58.2,340000.0,45,35590.0,4809,2.5,4.5,12.7,80.3,19.8,44.5,32.4,38.2,51.8,10.1,16.3,26.6,5.3,3.5,11.5,7.7,53.2,31.0,100.0,320.5,1.3,29.0,63.1,28.0,0.4
Hackney - Queensbridge,00AMGQ,E05000245,14450,2400,16.6,1.1,12727.3,12.9,21.8,6868,67.7,465000.0,135,36720.0,6012,2.2,7.5,15.9,74.4,21.2,50.1,24.9,32.5,64.1,3.4,19.5,18.9,6.3,4.0,23.6,7.2,54.3,17.0,100.0,294.4,1.2,18.8,116.8,15.6,0.4
Hackney - Springfield,00AMGR,E05000246,12800,4200,32.7,1.0,12500.0,13.5,23.8,3994,53.8,285000.0,61,33570.0,4451,2.2,6.4,15.5,75.7,21.4,47.0,28.1,38.7,53.5,7.7,19.5,29.0,6.6,4.4,15.5,9.9,49.5,54.0,100.0,331.8,1.3,31.7,73.7,26.5,0.4
Hackney - Stoke Newington Central,00AMGS,E05000247,13050,2100,16.1,0.7,18214.3,10.7,25.6,7032,73.4,483125.0,128,42400.0,5422,2.0,3.5,26.8,67.6,33.3,32.2,32.8,25.6,72.2,2.2,15.2,14.5,5.6,3.0,18.7,4.9,49.9,107.0,100.0,327.7,1.1,14.2,93.3,13.3,0.4
Hackney - Victoria,00AMGT,E05000248,13750,2750,20.1,0.8,16812.5,14.8,28.6,6251,65.6,471250.0,106,37350.0,5723,2.0,4.7,17.3,76.0,23.9,52.3,20.6,33.3,62.5,4.1,20.2,21.4,7.3,3.9,24.3,8.5,50.3,34.0,100.0,320.6,1.2,19.5,93.0,21.0,0.4
Hackney - Wick,00AMGU,E05000249,12350,2600,20.9,1.6,7500.0,15.8,30.8,4949,60.4,340000.0,133,32890.0,4904,2.8,6.1,21.3,69.6,20.1,53.8,21.0,27.9,70.1,2.0,23.6,23.7,8.3,4.3,30.5,10.4,56.8,5.0,100.0,310.6,1.3,22.8,99.8,48.8,0.5
Hammersmith and Fulham - Addison,00ANGA,E05000250,11650,1850,16.1,0.6,19083.3,6.4,23.8,6873,76.2,572500.0,200,43970.0,5743,0.8,1.9,13.8,83.5,35.8,24.9,37.9,15.2,68.7,16.1,12.6,12.5,5.3,2.6,16.7,3.3,44.7,266.0,85.7,330.5,1.1,9.3,107.4,0.3,0.5
Hammersmith and Fulham - Askew,00ANGB,E05000251,14300,2550,17.8,0.8,17562.5,9.5,21.6,7621,71.8,499999.5,198,38450.0,6470,1.5,4.1,16.2,78.1,31.7,34.8,29.5,7.7,77.8,14.5,15.4,17.5,5.9,4.7,17.3,5.7,49.3,178.0,100.0,312.8,1.6,13.7,75.4,3.6,0.5
Hammersmith and Fulham - Avonmore and Brook Green,00ANGC,E05000252,12700,1550,12.2,0.9,13722.2,11.1,25.3,6573,69.5,618250.0,164,43350.0,6128,0.4,1.6,9.0,89.0,34.3,21.9,41.4,7.9,66.6,25.5,9.7,11.1,3.4,1.9,12.7,3.0,42.0,334.0,75.0,343.1,1.1,9.3,70.5,8.8,0.5
Hammersmith and Fulham - College Park and Old Oak,00ANGD,E05000253,10700,2100,19.5,3.4,2897.1,12.8,21.8,4075,62.6,458000.0,57,30890.0,3805,4.6,12.8,33.2,49.3,20.2,55.9,18.3,19.2,79.3,1.6,20.6,18.4,5.3,4.3,27.3,9.6,54.0,75.0,100.0,317.4,1.3,23.0,115.7,43.8,0.4
Hammersmith and Fulham - Fulham Broadway,00ANGE,E05000254,11550,1650,14.4,0.7,16000.0,8.3,20.0,6064,72.4,805000.0,191,42130.0,5286,1.1,3.1,20.5,75.3,28.3,36.2,32.8,10.9,61.7,27.4,12.5,14.2,5.0,2.1,18.9,4.0,47.3,216.0,100.0,294.3,1.2,14.8,95.2,3.1,0.5
Hammersmith and Fulham - Fulham Reach,00ANGF,E05000255,11800,1550,13.1,0.9,12777.8,12.1,21.1,6331,71.0,786250.0,232,42010.0,5067,1.4,3.0,30.0,65.5,34.5,31.9,31.2,9.6,59.4,30.9,9.0,9.5,3.6,1.6,15.3,3.8,49.8,341.0,71.4,343.1,1.1,11.7,98.6,20.9,0.5
Hammersmith and Fulham - Hammersmith Broadway,00ANGG,E05000256,12250,2000,16.3,1.1,10954.5,8.7,23.0,6161,69.9,741250.0,124,39500.0,5461,1.2,3.7,18.1,76.6,27.8,39.9,29.8,7.4,71.2,21.4,13.5,16.4,6.1,2.4,20.9,5.3,50.7,207.0,100.0,325.4,1.3,15.0,224.9,9.1,0.5
Hammersmith and Fulham - Munster,00ANGH,E05000257,11150,1900,17.1,0.6,18250.0,10.3,19.5,6462,76.7,745000.0,211,50240.0,5052,1.0,3.3,34.9,60.8,44.8,18.1,35.2,2.8,60.7,36.5,7.6,7.6,3.1,1.2,9.3,2.8,49.0,407.0,57.1,279.9,0.9,9.7,64.5,8.5,0.7
Hammersmith and Fulham - North End,00ANGJ,E05000258,12650,1600,12.8,0.6,20083.3,8.0,26.0,6805,72.7,558000.0,140,39510.0,5745,1.0,1.6,8.2,89.1,27.9,28.6,40.7,12.2,76.1,11.7,10.7,13.2,4.6,1.8,23.7,4.2,49.0,253.0,85.7,300.0,1.3,11.2,64.6,10.7,0.4
Hammersmith and Fulham - Palace Riverside,00ANGK,E05000259,7600,1400,18.2,1.5,5000.0,9.1,12.7,3720,74.3,950000.0,101,53330.0,3430,1.2,13.6,18.9,66.2,56.7,14.2,25.2,1.2,51.2,47.7,5.7,6.4,2.2,1.1,5.2,2.1,36.8,471.0,40.0,309.3,0.9,9.9,90.8,54.7,0.9
Hammersmith and Fulham - Parsons Green and Walham,00ANGL,E05000260,10850,2100,19.3,0.9,11944.4,9.1,23.4,5716,73.7,1330000.0,175,55720.0,4953,1.4,5.9,38.0,54.6,47.9,20.6,29.4,5.3,42.8,51.9,8.2,8.5,3.5,1.1,7.3,2.6,56.4,383.0,42.9,321.3,1.2,9.5,124.8,9.8,0.8
Hammersmith and Fulham - Ravenscourt Park,00ANGM,E05000261,11000,1950,17.7,1.2,9000.0,7.7,13.1,5531,72.2,704000.0,222,45510.0,5005,2.9,12.1,23.6,61.5,42.7,23.2,31.0,12.1,47.6,40.3,10.2,10.3,4.0,1.9,12.6,4.2,50.0,271.0,71.4,339.5,1.1,9.9,101.1,16.3,0.6
Hammersmith and Fulham - Sands End,00ANGN,E05000262,13550,2550,18.9,1.4,9321.4,14.5,27.5,6518,69.3,827750.0,319,44170.0,5958,1.0,2.5,19.4,77.2,33.8,33.9,26.5,2.6,57.9,39.5,12.6,13.9,4.5,2.7,21.7,6.0,47.1,270.0,100.0,321.3,1.2,12.8,69.6,25.0,0.6
Hammersmith and Fulham - Shepherd's Bush Green,00ANGP,E05000263,12950,2100,16.2,1.1,11318.2,10.7,28.1,6797,72.0,440000.0,159,36430.0,5774,1.5,3.6,14.3,80.6,24.0,37.9,34.8,20.6,66.0,13.4,16.3,18.1,6.7,4.0,21.6,5.3,49.5,138.0,100.0,331.9,1.0,13.9,281.4,9.7,0.4
Hammersmith and Fulham - Town,00ANGQ,E05000264,11350,2050,17.9,0.7,15928.6,12.5,24.3,6512,76.4,690000.0,166,47940.0,5211,1.2,3.2,22.2,73.5,35.8,23.7,37.0,4.5,62.3,33.2,9.5,9.9,3.6,2.0,14.0,4.6,53.8,337.0,57.1,333.9,1.3,9.4,100.7,0.0,0.6
